year,state,county_name,county_fips,party,candidatevotes,totalvotes,Population,prev_party,flipped
2000,ALABAMA,AUTAUGA,01001,REPUBLICAN,11993,17208,43671,,1
2004,ALABAMA,AUTAUGA,01001,REPUBLICAN,15196,20081,48366,REPUBLICAN,0
2008,ALABAMA,AUTAUGA,01001,REPUBLICAN,17403,23641,53277,REPUBLICAN,0
2012,ALABAMA,AUTAUGA,01001,REPUBLICAN,17379,23932,54970,REPUBLICAN,0
2016,ALABAMA,AUTAUGA,01001,REPUBLICAN,18172,24973,55302,REPUBLICAN,0
2020,ALABAMA,AUTAUGA,01001,REPUBLICAN,19838,27770,56145,REPUBLICAN,0
2000,ALABAMA,BALDWIN,01003,REPUBLICAN,40872,56480,140415,,1
2004,ALABAMA,BALDWIN,01003,REPUBLICAN,52971,69320,156266,REPUBLICAN,0
2008,ALABAMA,BALDWIN,01003,REPUBLICAN,61271,81413,175827,REPUBLICAN,0
2012,ALABAMA,BALDWIN,01003,REPUBLICAN,66016,85338,190203,REPUBLICAN,0
2016,ALABAMA,BALDWIN,01003,REPUBLICAN,72883,95215,207787,REPUBLICAN,0
2020,ALABAMA,BALDWIN,01003,REPUBLICAN,83544,109679,229287,REPUBLICAN,0
2000,ALABAMA,BARBOUR,01005,DEMOCRAT,5188,10395,29038,,1
2004,ALABAMA,BARBOUR,01005,REPUBLICAN,5899,10777,28287,DEMOCRAT,1
2008,ALABAMA,BARBOUR,01005,REPUBLICAN,5866,11630,27808,REPUBLICAN,0
2012,ALABAMA,BARBOUR,01005,DEMOCRAT,5912,11509,27172,REPUBLICAN,1
2016,ALABAMA,BARBOUR,01005,REPUBLICAN,5454,10469,25828,DEMOCRAT,1
2020,ALABAMA,BARBOUR,01005,REPUBLICAN,5622,10518,24589,REPUBLICAN,0
2000,ALABAMA,BIBB,01007,REPUBLICAN,4273,7101,20826,,1
2004,ALABAMA,BIBB,01007,REPUBLICAN,5472,7600,21721,REPUBLICAN,0
2008,ALABAMA,BIBB,01007,REPUBLICAN,6262,8644,22705,REPUBLICAN,0
2012,ALABAMA,BIBB,01007,REPUBLICAN,6132,8420,22657,REPUBLICAN,0
2016,ALABAMA,BIBB,01007,REPUBLICAN,6738,8819,22590,REPUBLICAN,0
2020,ALABAMA,BIBB,01007,REPUBLICAN,7525,9595,22136,REPUBLICAN,0
2000,ALABAMA,BLOUNT,01009,REPUBLICAN,12667,17973,51024,,1
2004,ALABAMA,BLOUNT,01009,REPUBLICAN,17386,21504,54124,REPUBLICAN,0
2008,ALABAMA,BLOUNT,01009,REPUBLICAN,20389,24267,57055,REPUBLICAN,0
2012,ALABAMA,BLOUNT,01009,REPUBLICAN,20757,24006,57585,REPUBLICAN,0
2016,ALABAMA,BLOUNT,01009,REPUBLICAN,22859,25588,57487,REPUBLICAN,0
2020,ALABAMA,BLOUNT,01009,REPUBLICAN,24711,27588,57879,REPUBLICAN,0
2000,ALABAMA,BULLOCK,01011,DEMOCRAT,3395,4904,11714,,1
2004,ALABAMA,BULLOCK,01011,DEMOCRAT,3210,4717,11056,DEMOCRAT,0
2008,ALABAMA,BULLOCK,01011,DEMOCRAT,4011,5415,10953,DEMOCRAT,0
2012,ALABAMA,BULLOCK,01011,DEMOCRAT,4061,5322,10610,DEMOCRAT,0
2016,ALABAMA,BULLOCK,01011,DEMOCRAT,3530,4710,10397,DEMOCRAT,0
2020,ALABAMA,BULLOCK,01011,DEMOCRAT,3446,4613,9976,DEMOCRAT,0
2000,ALABAMA,BUTLER,01013,REPUBLICAN,4127,7803,21399,,1
2004,ALABAMA,BUTLER,01013,REPUBLICAN,4979,8416,20870,REPUBLICAN,0
2008,ALABAMA,BUTLER,01013,REPUBLICAN,5485,9709,20949,REPUBLICAN,0
2012,ALABAMA,BUTLER,01013,REPUBLICAN,5087,9496,20672,REPUBLICAN,0
2016,ALABAMA,BUTLER,01013,REPUBLICAN,4901,8732,20040,REPUBLICAN,0
2020,ALABAMA,BUTLER,01013,REPUBLICAN,5458,9488,19504,REPUBLICAN,0
2000,ALABAMA,CALHOUN,01015,REPUBLICAN,22306,38909,112249,,1
2004,ALABAMA,CALHOUN,01015,REPUBLICAN,29814,45249,113462,REPUBLICAN,0
2008,ALABAMA,CALHOUN,01015,REPUBLICAN,32348,49242,117274,REPUBLICAN,0
2012,ALABAMA,CALHOUN,01015,REPUBLICAN,30278,46257,117227,REPUBLICAN,0
2016,ALABAMA,CALHOUN,01015,REPUBLICAN,32865,47864,115036,REPUBLICAN,0
2020,ALABAMA,CALHOUN,01015,REPUBLICAN,35101,50983,113469,REPUBLICAN,0
2000,ALABAMA,CHAMBERS,01017,REPUBLICAN,6037,11834,36583,,1
2004,ALABAMA,CHAMBERS,01017,REPUBLICAN,7622,13032,35463,REPUBLICAN,0
2008,ALABAMA,CHAMBERS,01017,REPUBLICAN,8067,14956,34563,REPUBLICAN,0
2012,ALABAMA,CHAMBERS,01017,REPUBLICAN,7626,14611,34088,REPUBLICAN,0
2016,ALABAMA,CHAMBERS,01017,REPUBLICAN,7843,13900,33742,REPUBLICAN,0
2020,ALABAMA,CHAMBERS,01017,REPUBLICAN,8753,15284,32865,REPUBLICAN,0
2000,ALABAMA,CHEROKEE,01019,REPUBLICAN,4154,7823,23988,,1
2004,ALABAMA,CHEROKEE,01019,REPUBLICAN,5923,9049,24887,REPUBLICAN,0
2008,ALABAMA,CHEROKEE,01019,REPUBLICAN,7298,9745,25636,REPUBLICAN,0
2012,ALABAMA,CHEROKEE,01019,REPUBLICAN,7506,9779,25961,REPUBLICAN,0
2016,ALABAMA,CHEROKEE,01019,REPUBLICAN,8953,10733,25769,REPUBLICAN,0
2020,ALABAMA,CHEROKEE,01019,REPUBLICAN,10583,12301,26294,REPUBLICAN,0
2000,ALABAMA,CHILTON,01021,REPUBLICAN,10066,15092,39593,,1
