,year,state,county_name,county_fips,prev_party,Population,prev_party_encoded,predicted_party,predicted_flipped,flip_probability
0,2024,ALABAMA,AUTAUGA,01001,REPUBLICAN,61464.0,1,REPUBLICAN,0,0.37
1,2024,ALABAMA,BALDWIN,01003,REPUBLICAN,261608.0,1,REPUBLICAN,0,0.42
2,2024,ALABAMA,BARBOUR,01005,REPUBLICAN,24358.0,1,REPUBLICAN,0,0.47
3,2024,ALABAMA,BIBB,01007,REPUBLICAN,22258.0,1,REPUBLICAN,0,0.38
4,2024,ALABAMA,BLOUNT,01009,REPUBLICAN,60163.0,1,REPUBLICAN,0,0.34
5,2024,ALABAMA,BULLOCK,01011,DEMOCRAT,9901.0,0,DEMOCRAT,0,0.36
6,2024,ALABAMA,BUTLER,01013,REPUBLICAN,18256.0,1,REPUBLICAN,0,0.39
7,2024,ALABAMA,CALHOUN,01015,REPUBLICAN,116427.0,1,REPUBLICAN,0,0.37
8,2024,ALABAMA,CHAMBERS,01017,REPUBLICAN,33813.0,1,REPUBLICAN,0,0.38
9,2024,ALABAMA,CHEROKEE,01019,REPUBLICAN,26138.0,1,REPUBLICAN,0,0.34
10,2024,ALABAMA,CHILTON,01021,REPUBLICAN,47262.0,1,REPUBLICAN,0,0.35
11,2024,ALABAMA,CHOCTAW,01023,REPUBLICAN,12052.0,1,REPUBLICAN,0,0.36
12,2024,ALABAMA,CLARKE,01025,REPUBLICAN,22142.0,1,REPUBLICAN,0,0.41
13,2024,ALABAMA,CLAY,01027,REPUBLICAN,14239.0,1,REPUBLICAN,0,0.38
14,2024,ALABAMA,CLEBURNE,01029,REPUBLICAN,15905.0,1,REPUBLICAN,0,0.38
15,2024,ALABAMA,COFFEE,01031,REPUBLICAN,56358.0,1,REPUBLICAN,0,0.34
16,2024,ALABAMA,COLBERT,01033,REPUBLICAN,58785.0,1,REPUBLICAN,0,0.38
17,2024,ALABAMA,CONECUH,01035,REPUBLICAN,11109.0,1,REPUBLICAN,0,0.42
18,2024,ALABAMA,COOSA,01037,REPUBLICAN,10291.0,1,REPUBLICAN,0,0.36
19,2024,ALABAMA,COVINGTON,01039,REPUBLICAN,37748.0,1,REPUBLICAN,0,0.35
20,2024,ALABAMA,CRENSHAW,01041,REPUBLICAN,13114.0,1,REPUBLICAN,0,0.38
21,2024,ALABAMA,CULLMAN,01043,REPUBLICAN,92604.0,1,REPUBLICAN,0,0.34
22,2024,ALABAMA,DALE,01045,REPUBLICAN,50067.0,1,REPUBLICAN,0,0.35
23,2024,ALABAMA,DALLAS,01047,DEMOCRAT,35545.0,0,DEMOCRAT,0,0.34
24,2024,ALABAMA,DEKALB,01049,REPUBLICAN,73122.0,1,REPUBLICAN,0,0.34
25,2024,ALABAMA,ELMORE,01051,REPUBLICAN,91042.0,1,REPUBLICAN,0,0.36
26,2024,ALABAMA,ESCAMBIA,01053,REPUBLICAN,36630.0,1,REPUBLICAN,0,0.35
27,2024,ALABAMA,ETOWAH,01055,REPUBLICAN,103207.0,1,REPUBLICAN,0,0.35
28,2024,ALABAMA,FAYETTE,01057,REPUBLICAN,15863.0,1,REPUBLICAN,0,0.37
29,2024,ALABAMA,FRANKLIN,01059,REPUBLICAN,31874.0,1,REPUBLICAN,0,0.33
30,2024,ALABAMA,GENEVA,01061,REPUBLICAN,27259.0,1,REPUBLICAN,0,0.36
31,2024,ALABAMA,GREENE,01063,DEMOCRAT,7127.0,0,DEMOCRAT,0,0.35
32,2024,ALABAMA,HALE,01065,DEMOCRAT,15116.0,0,DEMOCRAT,0,0.38
33,2024,ALABAMA,HENRY,01067,REPUBLICAN,18141.0,1,REPUBLICAN,0,0.36
34,2024,ALABAMA,HOUSTON,01069,REPUBLICAN,109366.0,1,REPUBLICAN,0,0.34
35,2024,ALABAMA,JACKSON,01071,REPUBLICAN,53780.0,1,REPUBLICAN,0,0.33
36,2024,ALABAMA,JEFFERSON,01073,DEMOCRAT,664744.0,0,REPUBLICAN,0,0.33
37,2024,ALABAMA,LAMAR,01075,REPUBLICAN,13543.0,1,REPUBLICAN,0,0.39
38,2024,ALABAMA,LAUDERDALE,01077,REPUBLICAN,97502.0,1,REPUBLICAN,0,0.34
39,2024,ALABAMA,LAWRENCE,01079,REPUBLICAN,33567.0,1,REPUBLICAN,0,0.37
40,2024,ALABAMA,LEE,01081,REPUBLICAN,187847.0,1,REPUBLICAN,0,0.31
41,2024,ALABAMA,LIMESTONE,01083,REPUBLICAN,118942.0,1,REPUBLICAN,0,0.35
42,2024,ALABAMA,LOWNDES,01085,DEMOCRAT,9485.0,0,DEMOCRAT,0,0.38
43,2024,ALABAMA,MACON,01087,DEMOCRAT,18159.0,0,DEMOCRAT,0,0.38
44,2024,ALABAMA,MADISON,01089,REPUBLICAN,423355.0,1,REPUBLICAN,0,0.3
45,2024,ALABAMA,MARENGO,01091,DEMOCRAT,18512.0,0,DEMOCRAT,0,0.46
46,2024,ALABAMA,MARION,01093,REPUBLICAN,29323.0,1,REPUBLICAN,0,0.32
47,2024,ALABAMA,MARSHALL,01095,REPUBLICAN,102156.0,1,REPUBLICAN,0,0.33
48,2024,ALABAMA,MOBILE,01097,REPUBLICAN,412339.0,1,REPUBLICAN,0,0.34
49,2024,ALABAMA,MONROE,01099,REPUBLICAN,19057.0,1,REPUBLICAN,0,0.34
50,2024,ALABAMA,MONTGOMERY,01101,DEMOCRAT,225894.0,0,REPUBLICAN,0,0.35
51,2024,ALABAMA,MORGAN,01103,REPUBLICAN,126084.0,1,REPUBLICAN,0,0.32
52,2024,ALABAMA,PERRY,01105,DEMOCRAT,7719.0,0,DEMOCRAT,0,0.4
53,2024,ALABAMA,PICKENS,01107,REPUBLICAN,18508.0,1,REPUBLICAN,0,0.36
54,2024,ALABAMA,PIKE,01109,REPUBLICAN,33124.0,1,REPUBLICAN,0,0.33
55,2024,ALABAMA,RANDOLPH,01111,REPUBLICAN,23067.0,1,REPUBLICAN,0,0.45
56,2024,ALABAMA,RUSSELL,01113,DEMOCRAT,58837.0,0,DEMOCRAT,0,0.34
57,2024,ALABAMA,ST. CLAIR,01115,REPUBLICAN,96927.0,1,REPUBLICAN,0,0.34
58,2024,ALABAMA,SHELBY,01117,REPUBLICAN,235969.0,1,REPUBLICAN,0,0.32
59,2024,ALABAMA,SUMTER,01119,DEMOCRAT,11607.0,0,DEMOCRAT,0,0.39
60,2024,ALABAMA,TALLADEGA,01121,REPUBLICAN,81375.0,1,REPUBLICAN,0,0.34
61,2024,ALABAMA,TALLAPOOSA,01123,REPUBLICAN,40699.0,1,REPUBLICAN,0,0.36
62,2024,ALABAMA,TUSCALOOSA,01125,REPUBLICAN,241212.0,1,REPUBLICAN,0,0.35
63,2024,ALABAMA,WALKER,01127,REPUBLICAN,65260.0,1,REPUBLICAN,0,0.34
64,2024,ALABAMA,WASHINGTON,01129,REPUBLICAN,15018.0,1,REPUBLICAN,0,0.36
65,2024,ALABAMA,WILCOX,01131,DEMOCRAT,9865.0,0,DEMOCRAT,0,0.36
66,2024,ALABAMA,WINSTON,01133,REPUBLICAN,23869.0,1,REPUBLICAN,0,0.39
67,2024,ALASKA,ALASKA,02000,REPUBLICAN,731158.0,1,REPUBLICAN,0,0.35
68,2024,ARIZONA,APACHE,04001,DEMOCRAT,64800.0,0,DEMOCRAT,0,0.3
69,2024,ARIZONA,COCHISE,04003,REPUBLICAN,125773.0,1,REPUBLICAN,0,0.27
70,2024,ARIZONA,COCONINO,04005,DEMOCRAT,145161.0,0,REPUBLICAN,0,0.29
71,2024,ARIZONA,GILA,04007,REPUBLICAN,54073.0,1,REPUBLICAN,0,0.3
72,2024,ARIZONA,GRAHAM,04009,REPUBLICAN,40242.0,1,REPUBLICAN,0,0.32
73,2024,ARIZONA,GREENLEE,04011,REPUBLICAN,9410.0,1,REPUBLICAN,0,0.31
74,2024,ARIZONA,LA PAZ,04012,REPUBLICAN,16992.0,1,REPUBLICAN,0,0.33
75,2024,ARIZONA,MARICOPA,04013,DEMOCRAT,4673096.0,0,REPUBLICAN,0,0.31
76,2024,ARIZONA,MOHAVE,04015,REPUBLICAN,226479.0,1,REPUBLICAN,0,0.28
77,2024,ARIZONA,NAVAJO,04017,REPUBLICAN,109516.0,1,REPUBLICAN,0,0.31
78,2024,ARIZONA,PIMA,04019,DEMOCRAT,1080149.0,0,REPUBLICAN,0,0.3
79,2024,ARIZONA,PINAL,04021,REPUBLICAN,513862.0,1,REPUBLICAN,0,0.3
80,2024,ARIZONA,SANTA CRUZ,04023,DEMOCRAT,50508.0,0,DEMOCRAT,0,0.31
81,2024,ARIZONA,YAVAPAI,04025,REPUBLICAN,252013.0,1,REPUBLICAN,0,0.3
82,2024,ARIZONA,YUMA,04027,REPUBLICAN,220310.0,1,REPUBLICAN,0,0.28
83,2024,ARKANSAS,ARKANSAS,05001,REPUBLICAN,16050.0,1,REPUBLICAN,0,0.31
84,2024,ARKANSAS,ASHLEY,05003,REPUBLICAN,17984.0,1,REPUBLICAN,0,0.3
85,2024,ARKANSAS,BAXTER,05005,REPUBLICAN,43007.0,1,REPUBLICAN,0,0.33
86,2024,ARKANSAS,BENTON,05007,REPUBLICAN,321566.0,1,REPUBLICAN,0,0.31
87,2024,ARKANSAS,BOONE,05009,REPUBLICAN,38636.0,1,REPUBLICAN,0,0.33
88,2024,ARKANSAS,BRADLEY,05011,REPUBLICAN,9935.0,1,REPUBLICAN,0,0.38
89,2024,ARKANSAS,CALHOUN,05013,REPUBLICAN,4690.0,1,REPUBLICAN,0,0.27
90,2024,ARKANSAS,CARROLL,05015,REPUBLICAN,28968.0,1,REPUBLICAN,0,0.3
91,2024,ARKANSAS,CHICOT,05017,REPUBLICAN,9272.0,1,REPUBLICAN,1,0.54
92,2024,ARKANSAS,CLARK,05019,REPUBLICAN,20920.0,1,REPUBLICAN,0,0.27
93,2024,ARKANSAS,CLAY,05021,REPUBLICAN,14112.0,1,REPUBLICAN,0,0.31
94,2024,ARKANSAS,CLEBURNE,05023,REPUBLICAN,25646.0,1,REPUBLICAN,0,0.3
95,2024,ARKANSAS,CLEVELAND,05025,REPUBLICAN,7367.0,1,REPUBLICAN,0,0.28
96,2024,ARKANSAS,COLUMBIA,05027,REPUBLICAN,22024.0,1,REPUBLICAN,0,0.29
97,2024,ARKANSAS,CONWAY,05029,REPUBLICAN,21422.0,1,REPUBLICAN,0,0.29
98,2024,ARKANSAS,CRAIGHEAD,05031,REPUBLICAN,115852.0,1,REPUBLICAN,0,0.29
99,2024,ARKANSAS,CRAWFORD,05033,REPUBLICAN,62258.0,1,REPUBLICAN,0,0.29
100,2024,ARKANSAS,CRITTENDEN,05035,DEMOCRAT,46633.0,0,DEMOCRAT,0,0.3
101,2024,ARKANSAS,CROSS,05037,REPUBLICAN,16194.0,1,REPUBLICAN,0,0.28
102,2024,ARKANSAS,DALLAS,05039,REPUBLICAN,6076.0,1,REPUBLICAN,0,0.24
103,2024,ARKANSAS,DESHA,05041,REPUBLICAN,10321.0,1,DEMOCRAT,0,0.32
104,2024,ARKANSAS,DREW,05043,REPUBLICAN,16935.0,1,REPUBLICAN,0,0.31
105,2024,ARKANSAS,FAULKNER,05045,REPUBLICAN,131611.0,1,REPUBLICAN,0,0.28
106,2024,ARKANSAS,FRANKLIN,05047,REPUBLICAN,17586.0,1,REPUBLICAN,0,0.28
107,2024,ARKANSAS,FULTON,05049,REPUBLICAN,12546.0,1,REPUBLICAN,0,0.26
108,2024,ARKANSAS,GARLAND,05051,REPUBLICAN,99902.0,1,REPUBLICAN,0,0.3
109,2024,ARKANSAS,GRANT,05053,REPUBLICAN,18546.0,1,REPUBLICAN,0,0.26
110,2024,ARKANSAS,GREENE,05055,REPUBLICAN,46928.0,1,REPUBLICAN,0,0.31
111,2024,ARKANSAS,HEMPSTEAD,05057,REPUBLICAN,19105.0,1,REPUBLICAN,0,0.27
112,2024,ARKANSAS,HOT SPRING,05059,REPUBLICAN,33313.0,1,REPUBLICAN,0,0.34
113,2024,ARKANSAS,HOWARD,05061,REPUBLICAN,12387.0,1,REPUBLICAN,0,0.32
114,2024,ARKANSAS,INDEPENDENCE,05063,REPUBLICAN,38345.0,1,REPUBLICAN,0,0.31
115,2024,ARKANSAS,IZARD,05065,REPUBLICAN,14291.0,1,REPUBLICAN,0,0.31
116,2024,ARKANSAS,JACKSON,05067,REPUBLICAN,16673.0,1,REPUBLICAN,0,0.26
117,2024,ARKANSAS,JEFFERSON,05069,DEMOCRAT,63672.0,0,DEMOCRAT,0,0.3
118,2024,ARKANSAS,JOHNSON,05071,REPUBLICAN,26172.0,1,REPUBLICAN,0,0.28
119,2024,ARKANSAS,LAFAYETTE,05073,REPUBLICAN,6015.0,1,REPUBLICAN,0,0.32
120,2024,ARKANSAS,LAWRENCE,05075,REPUBLICAN,16305.0,1,REPUBLICAN,0,0.29
121,2024,ARKANSAS,LEE,05077,DEMOCRAT,8104.0,0,DEMOCRAT,0,0.26
122,2024,ARKANSAS,LINCOLN,05079,REPUBLICAN,12868.0,1,REPUBLICAN,0,0.27
123,2024,ARKANSAS,LITTLE RIVER,05081,REPUBLICAN,11626.0,1,REPUBLICAN,0,0.36
124,2024,ARKANSAS,LOGAN,05083,REPUBLICAN,21457.0,1,REPUBLICAN,0,0.27
125,2024,ARKANSAS,LONOKE,05085,REPUBLICAN,76389.0,1,REPUBLICAN,0,0.27
126,2024,ARKANSAS,MADISON,05087,REPUBLICAN,17865.0,1,REPUBLICAN,0,0.29
127,2024,ARKANSAS,MARION,05089,REPUBLICAN,17593.0,1,REPUBLICAN,0,0.3
128,2024,ARKANSAS,MILLER,05091,REPUBLICAN,41958.0,1,REPUBLICAN,0,0.28
129,2024,ARKANSAS,MISSISSIPPI,05093,REPUBLICAN,38095.0,1,REPUBLICAN,0,0.28
130,2024,ARKANSAS,MONROE,05095,REPUBLICAN,6415.0,1,REPUBLICAN,0,0.22
131,2024,ARKANSAS,MONTGOMERY,05097,REPUBLICAN,8510.0,1,REPUBLICAN,0,0.26
132,2024,ARKANSAS,NEVADA,05099,REPUBLICAN,8004.0,1,REPUBLICAN,0,0.27
133,2024,ARKANSAS,NEWTON,05101,REPUBLICAN,7026.0,1,REPUBLICAN,0,0.25
134,2024,ARKANSAS,OUACHITA,05103,REPUBLICAN,21684.0,1,REPUBLICAN,0,0.3
135,2024,ARKANSAS,PERRY,05105,REPUBLICAN,10251.0,1,REPUBLICAN,0,0.29
136,2024,ARKANSAS,PHILLIPS,05107,DEMOCRAT,14661.0,0,DEMOCRAT,0,0.29
137,2024,ARKANSAS,PIKE,05109,REPUBLICAN,10027.0,1,REPUBLICAN,0,0.3
138,2024,ARKANSAS,POINSETT,05111,REPUBLICAN,22300.0,1,REPUBLICAN,0,0.33
139,2024,ARKANSAS,POLK,05113,REPUBLICAN,19434.0,1,REPUBLICAN,0,0.29
140,2024,ARKANSAS,POPE,05115,REPUBLICAN,64829.0,1,REPUBLICAN,0,0.26
141,2024,ARKANSAS,PRAIRIE,05117,REPUBLICAN,7935.0,1,REPUBLICAN,0,0.27
142,2024,ARKANSAS,PULASKI,05119,DEMOCRAT,401209.0,0,REPUBLICAN,0,0.27
143,2024,ARKANSAS,RANDOLPH,05121,REPUBLICAN,19040.0,1,REPUBLICAN,0,0.39
144,2024,ARKANSAS,ST. FRANCIS,05123,DEMOCRAT,21822.0,0,DEMOCRAT,0,0.26
145,2024,ARKANSAS,SALINE,05125,REPUBLICAN,131252.0,1,REPUBLICAN,0,0.27
146,2024,ARKANSAS,SCOTT,05127,REPUBLICAN,9837.0,1,REPUBLICAN,0,0.32
147,2024,ARKANSAS,SEARCY,05129,REPUBLICAN,7836.0,1,REPUBLICAN,0,0.27
148,2024,ARKANSAS,SEBASTIAN,05131,REPUBLICAN,130035.0,1,REPUBLICAN,0,0.26
149,2024,ARKANSAS,SEVIER,05133,REPUBLICAN,15735.0,1,REPUBLICAN,0,0.31
150,2024,ARKANSAS,SHARP,05135,REPUBLICAN,18130.0,1,REPUBLICAN,0,0.32
151,2024,ARKANSAS,STONE,05137,REPUBLICAN,12785.0,1,REPUBLICAN,0,0.28
152,2024,ARKANSAS,UNION,05139,REPUBLICAN,37008.0,1,REPUBLICAN,0,0.28
153,2024,ARKANSAS,VAN BUREN,05141,REPUBLICAN,16152.0,1,REPUBLICAN,0,0.34
154,2024,ARKANSAS,WASHINGTON,05143,REPUBLICAN,266184.0,1,REPUBLICAN,0,0.32
155,2024,ARKANSAS,WHITE,05145,REPUBLICAN,79091.0,1,REPUBLICAN,0,0.28
156,2024,ARKANSAS,WOODRUFF,05147,REPUBLICAN,5808.0,1,REPUBLICAN,0,0.26
157,2024,ARKANSAS,YELL,05149,REPUBLICAN,20134.0,1,REPUBLICAN,0,0.32
158,2024,CALIFORNIA,ALAMEDA,06001,DEMOCRAT,1649060.0,0,DEMOCRAT,0,0.36
159,2024,CALIFORNIA,ALPINE,06003,DEMOCRAT,1099.0,0,DEMOCRAT,0,0.38
160,2024,CALIFORNIA,AMADOR,06005,REPUBLICAN,42026.0,1,REPUBLICAN,0,0.37
161,2024,CALIFORNIA,BUTTE,06007,DEMOCRAT,208334.0,0,REPUBLICAN,0,0.42
162,2024,CALIFORNIA,CALAVERAS,06009,REPUBLICAN,46505.0,1,REPUBLICAN,0,0.36
163,2024,CALIFORNIA,COLUSA,06011,REPUBLICAN,22074.0,1,REPUBLICAN,0,0.38
164,2024,CALIFORNIA,CONTRA COSTA,06013,DEMOCRAT,1172607.0,0,DEMOCRAT,0,0.34
165,2024,CALIFORNIA,DEL NORTE,06015,REPUBLICAN,27009.0,1,REPUBLICAN,0,0.36
166,2024,CALIFORNIA,EL DORADO,06017,REPUBLICAN,192823.0,1,REPUBLICAN,0,0.34
167,2024,CALIFORNIA,FRESNO,06019,DEMOCRAT,1024125.0,0,DEMOCRAT,0,0.36
168,2024,CALIFORNIA,GLENN,06021,REPUBLICAN,28304.0,1,REPUBLICAN,0,0.36
169,2024,CALIFORNIA,HUMBOLDT,06023,DEMOCRAT,132380.0,0,DEMOCRAT,0,0.33
170,2024,CALIFORNIA,IMPERIAL,06025,DEMOCRAT,181724.0,0,DEMOCRAT,0,0.32
171,2024,CALIFORNIA,INYO,06027,DEMOCRAT,18485.0,0,DEMOCRAT,0,0.38
172,2024,CALIFORNIA,KERN,06029,REPUBLICAN,922529.0,1,REPUBLICAN,0,0.35
173,2024,CALIFORNIA,KINGS,06031,REPUBLICAN,154913.0,1,REPUBLICAN,0,0.34
174,2024,CALIFORNIA,LAKE,06033,DEMOCRAT,67764.0,0,DEMOCRAT,0,0.31
175,2024,CALIFORNIA,LASSEN,06035,REPUBLICAN,28340.0,1,REPUBLICAN,0,0.35
176,2024,CALIFORNIA,LOS ANGELES,06037,DEMOCRAT,9757179.0,0,DEMOCRAT,0,0.35
177,2024,CALIFORNIA,MADERA,06039,REPUBLICAN,165432.0,1,REPUBLICAN,0,0.32
178,2024,CALIFORNIA,MARIN,06041,DEMOCRAT,256400.0,0,DEMOCRAT,0,0.34
179,2024,CALIFORNIA,MARIPOSA,06043,REPUBLICAN,17048.0,1,REPUBLICAN,0,0.37
180,2024,CALIFORNIA,MENDOCINO,06045,DEMOCRAT,89175.0,0,DEMOCRAT,0,0.35
181,2024,CALIFORNIA,MERCED,06047,DEMOCRAT,296774.0,0,DEMOCRAT,0,0.35
182,2024,CALIFORNIA,MODOC,06049,REPUBLICAN,8491.0,1,REPUBLICAN,0,0.35
183,2024,CALIFORNIA,MONO,06051,DEMOCRAT,12991.0,0,DEMOCRAT,0,0.36
184,2024,CALIFORNIA,MONTEREY,06053,DEMOCRAT,436251.0,0,DEMOCRAT,0,0.34
185,2024,CALIFORNIA,NAPA,06055,DEMOCRAT,132727.0,0,DEMOCRAT,0,0.33
186,2024,CALIFORNIA,NEVADA,06057,DEMOCRAT,102195.0,0,DEMOCRAT,0,0.37
187,2024,CALIFORNIA,ORANGE,06059,DEMOCRAT,3170435.0,0,REPUBLICAN,0,0.35
188,2024,CALIFORNIA,PLACER,06061,REPUBLICAN,433822.0,1,REPUBLICAN,0,0.34
189,2024,CALIFORNIA,PLUMAS,06063,REPUBLICAN,18834.0,1,REPUBLICAN,0,0.36
190,2024,CALIFORNIA,RIVERSIDE,06065,DEMOCRAT,2529933.0,0,DEMOCRAT,0,0.36
191,2024,CALIFORNIA,SACRAMENTO,06067,DEMOCRAT,1611231.0,0,DEMOCRAT,0,0.35
192,2024,CALIFORNIA,SAN BENITO,06069,DEMOCRAT,69159.0,0,DEMOCRAT,0,0.33
193,2024,CALIFORNIA,SAN BERNARDINO,06071,DEMOCRAT,2214281.0,0,DEMOCRAT,0,0.36
194,2024,CALIFORNIA,SAN DIEGO,06073,DEMOCRAT,3298799.0,0,REPUBLICAN,0,0.36
195,2024,CALIFORNIA,SAN FRANCISCO,06075,DEMOCRAT,827526.0,0,DEMOCRAT,0,0.35
196,2024,CALIFORNIA,SAN JOAQUIN,06077,DEMOCRAT,816108.0,0,REPUBLICAN,0,0.35
197,2024,CALIFORNIA,SAN LUIS OBISPO,06079,DEMOCRAT,281843.0,0,DEMOCRAT,0,0.33
198,2024,CALIFORNIA,SAN MATEO,06081,DEMOCRAT,742893.0,0,DEMOCRAT,0,0.35
199,2024,CALIFORNIA,SANTA BARBARA,06083,DEMOCRAT,444500.0,0,DEMOCRAT,0,0.34
200,2024,CALIFORNIA,SANTA CLARA,06085,DEMOCRAT,1926325.0,0,DEMOCRAT,0,0.35
201,2024,CALIFORNIA,SANTA CRUZ,06087,DEMOCRAT,262406.0,0,DEMOCRAT,0,0.35
202,2024,CALIFORNIA,SHASTA,06089,REPUBLICAN,181121.0,1,REPUBLICAN,0,0.34
203,2024,CALIFORNIA,SIERRA,06091,REPUBLICAN,3113.0,1,REPUBLICAN,0,0.3
204,2024,CALIFORNIA,SISKIYOU,06093,REPUBLICAN,42498.0,1,REPUBLICAN,0,0.36
205,2024,CALIFORNIA,SOLANO,06095,DEMOCRAT,455101.0,0,DEMOCRAT,0,0.35
206,2024,CALIFORNIA,SONOMA,06097,DEMOCRAT,485375.0,0,DEMOCRAT,0,0.36
